workload,cycles,cache-misses,instructions,cycle_activity.stalls_total,branch-misses,context-switches,iTLB-load-misses,IpCall,IpLoad,IpMispredict,BpTkBranch,MLP,SPEC_speed_score
500.perlbench_r,674419171986,2351552965,1569909736372,124910167986,2871473524,3523,23814662,88.65,3.49,547.153,2.01,1.333,0.9290912759
500.perlbench_r,681086046923,2352634877,1585548246016,125896606603,2890972799,3527,24242532,88.417,3.49,548.89,2,1.333,0.9290912759
500.perlbench_r,687746627930,2353798249,1601193925659,126878800094,2910417647,3547,24682736,88.19,3.48,550.633,2,1.333,0.9290912759
500.perlbench_r,694406378220,2374327608,1616710804467,127911107264,2928668644,3565,25097494,87.967,3.48,552.327,2,1.333,0.9290912759
500.perlbench_r,701059671872,2398105609,1632676151847,128890431726,2944824865,3580,25649779,87.677,3.48,554.613,2,1.333,0.9290912759
500.perlbench_r,707720916099,2398687184,1648789503812,129805208308,2961916623,3597,26254836,87.317,3.47,556.907,2,1.333,0.9290912759
500.perlbench_r,714381120848,2399195591,1664890493544,130717628850,2978966956,3610,26854071,86.97,3.47,559.183,1.99,1.333,0.9290912759
500.perlbench_r,721038727513,2400017711,1680989313530,131632722032,2996093619,3613,27455503,86.63,3.47,561.467,1.99,1.333,0.9290912759
500.perlbench_r,727698071692,2400788458,1697059120173,132549643699,3013244526,3623,28060044,86.297,3.46,563.663,1.99,1.33,0.9290912759
500.perlbench_r,734370908042,2401365240,1713139787390,133469663556,3030363577,3641,28659866,85.97,3.46,565.89,1.99,1.33,0.9290912759
500.perlbench_r,741022421559,2401955868,1729311491124,134369042891,3047402870,3661,29266216,85.657,3.46,568.073,1.99,1.33,0.9290912759
500.perlbench_r,747677322349,2403572488,1745063601387,135332551428,3066098893,3680,29782757,85.373,3.45,570.107,1.99,1.33,0.9290912759
500.perlbench_r,754340008782,2405251149,1760636218471,136320377705,3085744719,3713,30237228,85.203,3.45,571.587,1.98,1.327,0.9290912759
500.perlbench_r,760995627457,2406673882,1776234368962,137304685532,3105226355,3744,30680556,85.043,3.45,573.033,1.98,1.323,0.9290912759
500.perlbench_r,767649823326,2408019896,1791838288023,138287308595,3124586447,3784,31119379,84.883,3.45,574.467,1.98,1.323,0.9290912759
500.perlbench_r,774308810494,2409494548,1807435721976,139273715566,3143956929,3830,31564573,84.723,3.44,575.91,1.98,1.323,0.9290912759
500.perlbench_r,780957473221,2444855146,1822510710951,140459517910,3161319035,3878,31961825,84.573,3.44,577.297,1.98,1.323,0.9290912759
500.perlbench_r,787616463220,2478079131,1838000478467,141594754219,3177183231,3907,32509893,84.36,3.44,579.253,1.98,1.327,0.9290912759
500.perlbench_r,794284594056,2478688326,1854142090326,142504465396,3194283043,3941,33121206,84.097,3.44,581.23,1.98,1.327,0.9290912759
500.perlbench_r,800990141262,2479256139,1870328695120,143407701372,3211392993,3971,33726626,83.83,3.43,583.233,1.97,1.327,0.9290912759
500.perlbench_r,807687332963,2481225673,1886227019983,144356461768,3229433293,4003,34291219,83.577,3.43,585.163,1.97,1.327,0.9290912759
500.perlbench_r,814380322474,2483906318,1901784817054,145355096874,3248758234,4035,34734398,83.43,3.43,586.533,1.97,1.327,0.9290912759
500.perlbench_r,821074444537,2486240544,1917326075262,146354526967,3268162613,4062,35168956,83.3,3.43,587.837,1.97,1.323,0.9290912759
500.perlbench_r,827761024189,2488553734,1932863244210,147351298277,3287490660,4095,35600208,83.173,3.43,589.14,1.97,1.32,0.9290912759
500.perlbench_r,834459514941,2490929363,1948444870243,148348600741,3306838166,4138,36046711,83.043,3.42,590.437,1.97,1.32,0.9290912759
500.perlbench_r,841158634830,2521282122,1963435610094,149559657489,3324625592,4180,36482192,82.923,3.42,591.697,1.97,1.32,0.9290912759
500.perlbench_r,847671660503,2609075293,1977230504773,151325597281,3337201374,4222,36672984,82.837,3.42,593.23,1.97,1.327,0.9290912759
500.perlbench_r,854322317570,2697797662,1990499699766,153384359369,3345288493,4306,36729891,82.707,3.42,595.573,1.96,1.327,0.9290912759
500.perlbench_r,860959456929,2794483637,2003616534315,155519150352,3352504006,4417,36778396,82.543,3.42,598.117,1.96,1.323,0.9290912759
500.perlbench_r,867598642817,2891411228,2016800079293,157641714928,3359727241,4537,36827675,82.383,3.42,600.647,1.96,1.317,0.9290912759
500.perlbench_r,874242975730,2988480549,2030024248890,159767730475,3366913883,4633,36876874,82.223,3.41,603.163,1.96,1.317,0.9290912759
500.perlbench_r,880899136697,3085644921,2043265067985,161899713130,3374112557,4664,36921956,82.07,3.41,605.693,1.96,1.313,0.9290912759
500.perlbench_r,887553436659,3182432135,2056506051179,164023994488,3381386914,4697,36967323,81.913,3.41,608.197,1.96,1.307,0.9290912759
500.perlbench_r,894211288571,3279136578,2069748142963,166150164109,3388659757,4745,37017594,81.76,3.41,610.677,1.96,1.307,0.9290912759
500.perlbench_r,900632686570,3372629529,2081998921678,168151277335,3395332078,4827,37065786,81.613,3.41,613.15,1.96,1.307,0.9290912759
500.perlbench_r,907186047693,3471470897,2094632981746,170276472214,3402237460,4903,37116748,81.467,3.4,615.623,1.96,1.303,0.9290912759
500.perlbench_r,913728072730,3570138289,2107175748619,172401725992,3409138006,5011,37167693,81.32,3.4,618.09,1.96,1.297,0.9290912759
500.perlbench_r,920283909838,3669096289,2119766225304,174533847858,3416058552,5066,37216278,81.18,3.4,620.527,1.95,1.297,0.9290912759
500.perlbench_r,926837973155,3768275779,2132386547148,176661992960,3423010057,5155,37264011,81.04,3.4,622.967,1.95,1.293,0.9290912759
500.perlbench_r,933391578456,3866996482,2144965061437,178790552643,3429967260,5276,37314751,80.9,3.4,625.407,1.95,1.293,0.9290912759
500.perlbench_r,939942136664,3965751944,2157536028639,180919298818,3436901051,5392,37364628,80.767,3.39,627.807,1.95,1.287,0.9290912759
500.perlbench_r,946496650994,4064227206,2170077441967,183050296673,3443764389,5496,37416992,80.633,3.39,630.223,1.95,1.287,0.9290912759
500.perlbench_r,953052329005,4162697923,2182618466103,185182226895,3450609469,5605,37468551,80.5,3.39,632.643,1.95,1.287,0.9290912759
500.perlbench_r,959605408065,4261387769,2195186644619,187315223718,3457443989,5713,37519633,80.373,3.39,635.033,1.95,1.283,0.9290912759
500.perlbench_r,966164537144,4360226420,2207781462652,189445295982,3464285158,5818,37572106,80.243,3.39,637.43,1.95,1.28,0.9290912759
500.perlbench_r,972725157515,4458550438,2220329509138,191576743712,3471202672,5927,37625900,80.113,3.39,639.807,1.95,1.277,0.9290912759
500.perlbench_r,979286106507,4557673578,2232974570663,193701967692,3478148192,6042,37675998,79.993,3.38,642.19,1.95,1.277,0.9290912759
500.perlbench_r,985848126924,4656949168,2245651727713,195826119055,3485114291,6159,37728056,79.87,3.38,644.543,1.95,1.277,0.9290912759
500.perlbench_r,992404829466,4755996979,2258292621920,197953984097,3492076625,6278,37781475,79.75,3.38,646.89,1.95,1.273,0.9290912759
500.perlbench_r,998965199561,4854885857,2270929805039,200083003141,3499025760,6393,37831881,79.63,3.38,649.227,1.95,1.27,0.9290912759
500.perlbench_r,1005527097511,4953991612,2283600184225,202208652739,3506012639,6502,37884907,79.513,3.38,651.563,1.94,1.27,0.9290912759
500.perlbench_r,1012086332551,5052990257,2296230781922,204338125384,3512933263,6613,37938240,79.397,3.37,653.9,1.94,1.267,0.9290912759
500.perlbench_r,1018651000372,5152079292,2308884557358,206469473497,3519865365,6719,37990337,79.28,3.37,656.213,1.94,1.267,0.9290912759
500.perlbench_r,1025217754609,5251358854,2321575702746,208600392361,3526700839,6806,38040524,79.17,3.37,658.523,1.94,1.263,0.9290912759
500.perlbench_r,1031795180751,5350357637,2334246653485,210740083681,3533563940,6825,38092062,79.053,3.37,660.847,1.94,1.263,0.9290912759
500.perlbench_r,1038373459220,5449647088,2346955524176,212877399187,3540415844,6842,38141679,78.943,3.37,663.163,1.94,1.26,0.9290912759
500.perlbench_r,1044947911686,5548627723,2359603147617,215015860771,3547208795,6866,38194858,78.84,3.37,665.47,1.94,1.26,0.9290912759
500.perlbench_r,1051524565655,5647958351,2372305886821,217151935861,3554039770,6898,38249907,78.73,3.37,667.757,1.94,1.257,0.9290912759
500.perlbench_r,1058092851348,5747560050,2385030645701,219279516426,3560875271,6999,38305149,78.627,3.36,670.097,1.94,1.257,0.9290912759
500.perlbench_r,1064659916728,5847467996,2397783186609,221401976666,3567746883,7105,38359096,78.52,3.36,672.3,1.94,1.257,0.9290912759
500.perlbench_r,1071226758196,5947386845,2410523030825,223523463779,3574649357,7210,38414144,78.417,3.36,674.57,1.94,1.253,0.9290912759
500.perlbench_r,1077792653897,6047177100,2423274651029,225643766205,3581560366,7315,38470292,78.317,3.36,676.79,1.94,1.253,0.9290912759
500.perlbench_r,1084358992664,6146855490,2436025602742,227761499621,3588513642,7428,38526662,78.217,3.36,679.033,1.94,1.25,0.9290912759
500.perlbench_r,1090925143413,6246593500,2448776080311,229877211612,3595404713,7545,38586021,78.117,3.36,681.26,1.94,1.25,0.9290912759
500.perlbench_r,1097498877442,6346443898,2461529036354,232001763898,3602283951,7614,38645478,78.023,3.35,683.49,1.93,1.247,0.9290912759
500.perlbench_r,1104077304517,6446404215,2474330988239,234122028478,3609265310,7646,38705030,77.927,3.35,685.7,1.93,1.247,0.9290912759
500.perlbench_r,1110654717482,6546473646,2487123418427,236243960504,3616291032,7680,38766551,77.83,3.35,687.893,1.93,1.247,0.9290912759
500.perlbench_r,1117299658228,6646508852,2499960339053,238360537103,3623373469,7714,38831627,77.737,3.35,690.093,1.93,1.247,0.9290912759
500.perlbench_r,1123972491685,6746516330,2512798870605,240474268887,3630532543,7746,38899632,77.647,3.35,692.257,1.93,1.243,0.9290912759
500.perlbench_r,1130641201589,6846655455,2525660150373,242581698565,3637689950,7780,38969513,77.553,3.35,694.433,1.93,1.243,0.9290912759
500.perlbench_r,1137309721339,6946978290,2538564197515,244677876150,3644907952,7814,39047285,77.46,3.35,696.603,1.93,1.24,0.9290912759
